src,emoji,path
http://mail.google.com/mail/e/softbank_ne_jp/000,☀,dl_out/000
http://mail.google.com/mail/e/softbank_ne_jp/001,☁,dl_out/001
http://mail.google.com/mail/e/softbank_ne_jp/002,☔,dl_out/002
http://mail.google.com/mail/e/softbank_ne_jp/003,⛄,dl_out/003
http://mail.google.com/mail/e/softbank_ne_jp/004,⚡,dl_out/004
http://mail.google.com/mail/e/softbank_ne_jp/005,🌀,dl_out/005
http://mail.google.com/mail/e/softbank_ne_jp/006,🌁,dl_out/006
http://mail.google.com/mail/e/softbank_ne_jp/007,🌂,dl_out/007
http://mail.google.com/mail/e/softbank_ne_jp/008,🌃,dl_out/008
http://mail.google.com/mail/e/softbank_ne_jp/009,🌄,dl_out/009
http://mail.google.com/mail/e/softbank_ne_jp/00A,🌅,dl_out/00A
http://mail.google.com/mail/e/softbank_ne_jp/00B,🌆,dl_out/00B
http://mail.google.com/mail/e/softbank_ne_jp/00C,🌇,dl_out/00C
http://mail.google.com/mail/e/softbank_ne_jp/00D,🌈,dl_out/00D
http://mail.google.com/mail/e/softbank_ne_jp/00E,❄,dl_out/00E
http://mail.google.com/mail/e/softbank_ne_jp/00F,⛅,dl_out/00F
http://mail.google.com/mail/e/softbank_ne_jp/010,🌉,dl_out/010
http://mail.google.com/mail/e/softbank_ne_jp/011,🌑,dl_out/011
http://mail.google.com/mail/e/softbank_ne_jp/012,🌔,dl_out/012
http://mail.google.com/mail/e/softbank_ne_jp/013,🌓,dl_out/013
http://mail.google.com/mail/e/softbank_ne_jp/014,🌙,dl_out/014
http://mail.google.com/mail/e/softbank_ne_jp/015,🌕,dl_out/015
http://mail.google.com/mail/e/softbank_ne_jp/016,🌛,dl_out/016
http://mail.google.com/mail/e/softbank_ne_jp/017,🎑,dl_out/017
http://mail.google.com/mail/e/softbank_ne_jp/018,🔜,dl_out/018
http://mail.google.com/mail/e/softbank_ne_jp/019,🔛,dl_out/019
http://mail.google.com/mail/e/softbank_ne_jp/01A,🔚,dl_out/01A
http://mail.google.com/mail/e/softbank_ne_jp/01B,⏳,dl_out/01B
http://mail.google.com/mail/e/softbank_ne_jp/01C,⌛,dl_out/01C
http://mail.google.com/mail/e/softbank_ne_jp/01D,⌚,dl_out/01D
http://mail.google.com/mail/e/softbank_ne_jp/01E,🕐,dl_out/01E
http://mail.google.com/mail/e/softbank_ne_jp/01F,🕑,dl_out/01F
http://mail.google.com/mail/e/softbank_ne_jp/020,🕒,dl_out/020
http://mail.google.com/mail/e/softbank_ne_jp/021,🕓,dl_out/021
http://mail.google.com/mail/e/softbank_ne_jp/022,🕔,dl_out/022
http://mail.google.com/mail/e/softbank_ne_jp/023,🕕,dl_out/023
http://mail.google.com/mail/e/softbank_ne_jp/024,🕖,dl_out/024
http://mail.google.com/mail/e/softbank_ne_jp/025,🕗,dl_out/025
http://mail.google.com/mail/e/softbank_ne_jp/026,🕘,dl_out/026
http://mail.google.com/mail/e/softbank_ne_jp/027,🕙,dl_out/027
http://mail.google.com/mail/e/softbank_ne_jp/028,🕚,dl_out/028
http://mail.google.com/mail/e/softbank_ne_jp/029,🕛,dl_out/029
http://mail.google.com/mail/e/softbank_ne_jp/02A,⏰,dl_out/02A
http://mail.google.com/mail/e/softbank_ne_jp/02B,♈,dl_out/02B
http://mail.google.com/mail/e/softbank_ne_jp/02C,♉,dl_out/02C
http://mail.google.com/mail/e/softbank_ne_jp/02D,♊,dl_out/02D
http://mail.google.com/mail/e/softbank_ne_jp/02E,♋,dl_out/02E
http://mail.google.com/mail/e/softbank_ne_jp/02F,♌,dl_out/02F
http://mail.google.com/mail/e/softbank_ne_jp/030,♍,dl_out/030
http://mail.google.com/mail/e/softbank_ne_jp/031,♎,dl_out/031
http://mail.google.com/mail/e/softbank_ne_jp/032,♏,dl_out/032
http://mail.google.com/mail/e/softbank_ne_jp/033,♐,dl_out/033
http://mail.google.com/mail/e/softbank_ne_jp/034,♑,dl_out/034
http://mail.google.com/mail/e/softbank_ne_jp/035,♒,dl_out/035
http://mail.google.com/mail/e/softbank_ne_jp/036,♓,dl_out/036
http://mail.google.com/mail/e/softbank_ne_jp/037,⛎,dl_out/037
http://mail.google.com/mail/e/softbank_ne_jp/038,🌊,dl_out/038
http://mail.google.com/mail/e/softbank_ne_jp/039,🌏,dl_out/039
http://mail.google.com/mail/e/softbank_ne_jp/03A,🌋,dl_out/03A
http://mail.google.com/mail/e/softbank_ne_jp/03B,🌌,dl_out/03B
http://mail.google.com/mail/e/softbank_ne_jp/03C,🍀,dl_out/03C
http://mail.google.com/mail/e/softbank_ne_jp/03D,🌷,dl_out/03D
http://mail.google.com/mail/e/softbank_ne_jp/03E,🌱,dl_out/03E
http://mail.google.com/mail/e/softbank_ne_jp/03F,🍁,dl_out/03F
http://mail.google.com/mail/e/softbank_ne_jp/040,🌸,dl_out/040
http://mail.google.com/mail/e/softbank_ne_jp/041,🌹,dl_out/041
http://mail.google.com/mail/e/softbank_ne_jp/042,🍂,dl_out/042
http://mail.google.com/mail/e/softbank_ne_jp/043,🍃,dl_out/043
http://mail.google.com/mail/e/softbank_ne_jp/044,🔰,dl_out/044
http://mail.google.com/mail/e/softbank_ne_jp/045,🌺,dl_out/045
http://mail.google.com/mail/e/softbank_ne_jp/046,🌻,dl_out/046
http://mail.google.com/mail/e/softbank_ne_jp/047,🌴,dl_out/047
http://mail.google.com/mail/e/softbank_ne_jp/048,🌵,dl_out/048
http://mail.google.com/mail/e/softbank_ne_jp/049,🌾,dl_out/049
http://mail.google.com/mail/e/softbank_ne_jp/04A,🌽,dl_out/04A
http://mail.google.com/mail/e/softbank_ne_jp/04B,🍄,dl_out/04B
http://mail.google.com/mail/e/softbank_ne_jp/04C,🌰,dl_out/04C
http://mail.google.com/mail/e/softbank_ne_jp/04D,🌼,dl_out/04D
http://mail.google.com/mail/e/softbank_ne_jp/04E,🌿,dl_out/04E
http://mail.google.com/mail/e/softbank_ne_jp/04F,🍒,dl_out/04F
http://mail.google.com/mail/e/softbank_ne_jp/050,🍌,dl_out/050
http://mail.google.com/mail/e/softbank_ne_jp/051,🍎,dl_out/051
http://mail.google.com/mail/e/softbank_ne_jp/052,🍊,dl_out/052
